                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.24067,                0.52857,                      1,                0.90776,               0.070195,              0.0033117,              0.0033117
                      1,                0.20728,                0.60714,                      1,                0.83057,               0.040129,              0.0065792,              0.0065792
                      2,                0.16851,                0.64643,                      1,                 0.8293,              0.0099972,              0.0097808,              0.0097808
                      3,                 0.1543,                0.70714,                      1,                0.75688,               0.009703,               0.009703,               0.009703
                      4,                0.13445,                0.63929,                      1,                0.79609,               0.009703,               0.009703,               0.009703
                      5,                0.12749,                0.73929,                      1,                0.72861,               0.009604,               0.009604,               0.009604
                      6,                 0.1175,                0.71071,                      1,                 0.7459,               0.009505,               0.009505,               0.009505
                      7,                0.10685,                0.79286,                      1,                0.70156,               0.009406,               0.009406,               0.009406
                      8,                0.09258,                0.78571,                      1,                0.69424,               0.009307,               0.009307,               0.009307
                      9,                0.08876,                0.78929,                      1,                 0.6873,               0.009208,               0.009208,               0.009208
                     10,                0.07569,                0.77143,                      1,                0.68848,               0.009109,               0.009109,               0.009109
                     11,                0.06864,                0.81071,                      1,                0.65625,                0.00901,                0.00901,                0.00901
                     12,                0.06398,                0.76786,                      1,                0.69639,               0.008911,               0.008911,               0.008911
                     13,                0.06306,                  0.775,                      1,                0.68789,               0.008812,               0.008812,               0.008812
                     14,                0.04591,                    0.8,                      1,                0.66562,               0.008713,               0.008713,               0.008713
                     15,                0.04662,                0.77143,                      1,                 0.6771,               0.008614,               0.008614,               0.008614
                     16,                0.04594,                    0.8,                      1,                0.65659,               0.008515,               0.008515,               0.008515
                     17,                 0.0297,                0.82857,                      1,                  0.648,               0.008416,               0.008416,               0.008416
                     18,                0.02522,                0.82143,                      1,                0.64609,               0.008317,               0.008317,               0.008317
                     19,                0.03196,                0.81429,                      1,                0.64414,               0.008218,               0.008218,               0.008218
                     20,                0.02618,                0.81071,                      1,                0.64351,               0.008119,               0.008119,               0.008119
                     21,                 0.0198,                0.80714,                      1,                0.64927,                0.00802,                0.00802,                0.00802
                     22,                0.01898,                0.82143,                      1,                0.63396,               0.007921,               0.007921,               0.007921
                     23,                0.01465,                0.81786,                      1,                 0.6354,               0.007822,               0.007822,               0.007822
                     24,                0.01318,                0.82857,                      1,                0.62715,               0.007723,               0.007723,               0.007723
                     25,                0.01337,                0.81071,                      1,                0.64038,               0.007624,               0.007624,               0.007624
                     26,                0.01022,                0.76786,                      1,                0.67212,               0.007525,               0.007525,               0.007525
                     27,                0.00868,                0.82143,                      1,                0.63672,               0.007426,               0.007426,               0.007426
                     28,                0.00914,                0.82143,                      1,                0.63379,               0.007327,               0.007327,               0.007327
                     29,                0.01172,                0.80714,                      1,                0.64497,               0.007228,               0.007228,               0.007228
                     30,                0.00943,                    0.8,                      1,                0.64839,               0.007129,               0.007129,               0.007129
                     31,                0.00897,                0.81786,                      1,                0.63335,                0.00703,                0.00703,                0.00703
                     32,                0.01017,                0.80714,                      1,                0.64385,               0.006931,               0.006931,               0.006931
                     33,                0.00641,                0.82143,                      1,                0.63286,               0.006832,               0.006832,               0.006832
                     34,                0.00461,                0.81786,                      1,                0.63359,               0.006733,               0.006733,               0.006733
                     35,                0.00472,                0.81786,                      1,                0.63542,               0.006634,               0.006634,               0.006634
                     36,                0.00328,                0.80714,                      1,                0.64277,               0.006535,               0.006535,               0.006535
                     37,                0.00661,                0.83929,                      1,                0.62637,               0.006436,               0.006436,               0.006436
                     38,                 0.0082,                0.84286,                      1,                0.62607,               0.006337,               0.006337,               0.006337
                     39,                0.00391,                0.82857,                      1,                0.62236,               0.006238,               0.006238,               0.006238
                     40,                0.00314,                0.83214,                      1,                0.63013,               0.006139,               0.006139,               0.006139
                     41,                0.00414,                0.83571,                      1,                0.62256,                0.00604,                0.00604,                0.00604
                     42,                0.00273,                0.83929,                      1,                0.62361,               0.005941,               0.005941,               0.005941
                     43,                0.00218,                0.82143,                      1,                0.63799,               0.005842,               0.005842,               0.005842
                     44,                0.00158,                0.81429,                      1,                0.63652,               0.005743,               0.005743,               0.005743
                     45,                0.00168,                  0.825,                      1,                0.63437,               0.005644,               0.005644,               0.005644
