                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2875,                 2.3376,                 1.2375,                0.55504,                0.71094,                0.65178,                0.44802,                0.96132,                  1.704,                 1.1132,               0.067151,             0.00033181,             0.00033181
                      1,                 1.2175,                  1.201,                 1.1708,                0.67718,                0.79593,                0.80407,                0.55611,                0.91555,                 1.3091,                 1.0873,               0.034146,             0.00066071,             0.00066071
                      2,                  1.177,                0.99052,                 1.1512,                 0.7314,                0.73623,                0.79805,                0.57766,                0.85267,                 1.0751,                 1.0534,              0.0011374,             0.00098518,             0.00098518
                      3,                 1.1272,                0.84203,                  1.116,                0.70132,                 0.7905,                0.78887,                0.58286,                0.86443,                0.98042,                 1.0621,             0.00098002,             0.00098002,             0.00098002
                      4,                 1.1145,                0.80719,                 1.1082,                0.76543,                0.82901,                0.81312,                0.58935,                0.86848,                0.88501,                 1.0723,             0.00098002,             0.00098002,             0.00098002
                      5,                 1.0808,                0.74646,                 1.0859,                0.77165,                0.80612,                0.82421,                0.59909,                0.86888,                0.88067,                 1.0802,             0.00097336,             0.00097336,             0.00097336
                      6,                 1.0427,                0.72622,                 1.0868,                0.77066,                0.86755,                0.83616,                0.62431,                 0.8287,                  0.891,                 1.0511,              0.0009667,              0.0009667,              0.0009667
                      7,                  1.038,                0.69797,                 1.0772,                0.78089,                0.77907,                0.81944,                0.61914,                0.82337,                0.84604,                 1.0428,             0.00096004,             0.00096004,             0.00096004
                      8,                 1.0373,                0.67905,                 1.0649,                0.68022,                0.89089,                0.81271,                 0.6043,                0.82531,                0.86052,                 1.0436,             0.00095338,             0.00095338,             0.00095338
                      9,                 1.0105,                0.64073,                 1.0584,                0.76171,                0.83606,                0.81245,                0.59735,                0.84616,                0.94788,                 1.0602,             0.00094672,             0.00094672,             0.00094672
                     10,                 1.0163,                 0.6516,                 1.0645,                0.77683,                0.82744,                 0.8283,                0.62445,                0.82045,                0.91057,                 1.0564,             0.00094006,             0.00094006,             0.00094006
                     11,                0.99121,                0.61585,                 1.0628,                0.75179,                0.84574,                0.82488,                0.61629,                0.84084,                0.80041,                 1.0729,              0.0009334,              0.0009334,              0.0009334
                     12,                0.99016,                 0.6143,                 1.0416,                0.70289,                0.90164,                0.82217,                0.62309,                 0.8147,                0.87173,                 1.0552,             0.00092674,             0.00092674,             0.00092674
                     13,                0.97882,                0.60628,                 1.0513,                0.75964,                0.87882,                0.82853,                0.63016,                 0.8065,                0.83503,                 1.0453,             0.00092008,             0.00092008,             0.00092008
                     14,                0.96439,                0.59565,                 1.0431,                0.78228,                0.85426,                0.82129,                0.62395,                  0.832,                0.83153,                 1.0674,             0.00091342,             0.00091342,             0.00091342
                     15,                0.96709,                0.59025,                 1.0388,                0.78602,                0.88538,                0.83227,                0.62766,                0.83763,                 0.8497,                 1.0545,             0.00090676,             0.00090676,             0.00090676
                     16,                0.94379,                 0.5823,                 1.0455,                0.75488,                0.87036,                0.82709,                0.62638,                0.79965,                0.86281,                   1.04,              0.0009001,              0.0009001,              0.0009001
                     17,                0.94727,                 0.5669,                 1.0287,                0.74869,                0.92018,                0.84471,                0.62933,                0.80471,                 0.8611,                 1.0468,             0.00089344,             0.00089344,             0.00089344
                     18,                0.92026,                0.55528,                 1.0235,                0.81221,                0.85251,                 0.8454,                0.62694,                0.80702,                0.85234,                 1.0408,             0.00088678,             0.00088678,             0.00088678
                     19,                0.92434,                0.54771,                 1.0159,                0.75359,                0.89364,                0.81682,                0.60778,                0.82453,                0.90423,                 1.0721,             0.00088012,             0.00088012,             0.00088012
                     20,                0.92339,                0.54795,                 1.0063,                0.80099,                0.82889,                 0.8181,                0.62196,                0.80079,                0.84332,                 1.0415,             0.00087346,             0.00087346,             0.00087346
                     21,                 0.9137,                0.53533,                 1.0132,                0.77316,                0.87419,                0.82663,                0.62415,                0.81163,                0.84462,                 1.0396,              0.0008668,              0.0008668,              0.0008668
                     22,                0.90519,                0.53531,                 1.0123,                0.75761,                0.86596,                0.82546,                0.62162,                0.82173,                0.90957,                 1.0442,             0.00086014,             0.00086014,             0.00086014
                     23,                0.88417,                0.52857,                 0.9975,                0.72097,                0.90673,                 0.8201,                0.63086,                0.79819,                0.91167,                  1.043,             0.00085348,             0.00085348,             0.00085348
                     24,                0.89235,                0.53138,                 1.0012,                0.75902,                0.87382,                0.82846,                0.63431,                0.79873,                0.86302,                 1.0408,             0.00084682,             0.00084682,             0.00084682
                     25,                 0.8829,                0.53728,                 1.0057,                0.79931,                0.83748,                0.83185,                0.62595,                0.81821,                0.84141,                 1.0752,             0.00084016,             0.00084016,             0.00084016
                     26,                0.87576,                0.53131,                 1.0101,                0.73799,                0.86666,                0.81474,                0.62244,                0.78306,                0.91669,                  1.043,              0.0008335,              0.0008335,              0.0008335
                     27,                0.86679,                0.51539,                 1.0003,                 0.7684,                0.90502,                0.84092,                0.63816,                0.78775,                0.83868,                 1.0523,             0.00082684,             0.00082684,             0.00082684
                     28,                0.86189,                0.51952,                 1.0017,                0.75955,                 0.9058,                0.83978,                0.63913,                0.77327,                0.85851,                 1.0492,             0.00082018,             0.00082018,             0.00082018
                     29,                0.85421,                0.51255,                 1.0002,                 0.7336,                0.87842,                 0.8219,                 0.6224,                0.78228,                0.91438,                  1.056,             0.00081352,             0.00081352,             0.00081352
                     30,                0.85748,                 0.4991,                0.98982,                0.78614,                0.86655,                0.85505,                0.65542,                0.75688,                0.85054,                  1.021,             0.00080686,             0.00080686,             0.00080686
                     31,                0.83994,                0.49772,                 0.9915,                0.74145,                0.81912,                0.80887,                0.62359,                0.74931,                0.89457,                 1.0103,              0.0008002,              0.0008002,              0.0008002
                     32,                0.84356,                0.49309,                0.99299,                 0.7539,                 0.8893,                0.84106,                0.64572,                0.76201,                0.90319,                 1.0154,             0.00079354,             0.00079354,             0.00079354
                     33,                0.81646,                0.47328,                0.97413,                 0.8146,                0.85073,                0.85661,                0.65841,                0.77101,                0.84409,                 1.0257,             0.00078688,             0.00078688,             0.00078688
                     34,                  0.829,                0.48701,                0.99486,                0.77143,                0.85934,                0.84548,                0.63591,                0.80898,                0.91328,                 1.0642,             0.00078022,             0.00078022,             0.00078022
                     35,                0.82515,                 0.4784,                0.99044,                0.76144,                0.83302,                0.82295,                0.62642,                0.78365,                0.93427,                 1.0625,             0.00077356,             0.00077356,             0.00077356
                     36,                0.83425,                 0.4804,                0.98603,                0.73512,                0.85887,                0.80619,                0.60654,                 0.7752,                0.99076,                 1.0538,              0.0007669,              0.0007669,              0.0007669
                     37,                0.82333,                0.47701,                0.98589,                0.73426,                0.86979,                0.79342,                0.59848,                0.76416,                0.96605,                 1.0316,             0.00076024,             0.00076024,             0.00076024
                     38,                0.80037,                0.47929,                0.98799,                0.70069,                0.89894,                0.80308,                0.60644,                0.77551,                0.95642,                 1.0479,             0.00075358,             0.00075358,             0.00075358
                     39,                0.81378,                0.47703,                0.98378,                0.71965,                0.86589,                0.81207,                0.61731,                0.75271,                0.94456,                 1.0401,             0.00074692,             0.00074692,             0.00074692
                     40,                0.81679,                0.47283,                0.98315,                0.76239,                0.84737,                0.80265,                0.61253,                0.75432,                0.97735,                 1.0438,             0.00074026,             0.00074026,             0.00074026
                     41,                0.79274,                0.47119,                0.97759,                0.73171,                0.89311,                0.84334,                0.63753,                 0.7663,                0.96246,                 1.0635,              0.0007336,              0.0007336,              0.0007336
                     42,                0.78053,                0.45462,                0.97463,                0.77223,                0.86697,                   0.81,                0.60101,                0.77992,                0.91828,                 1.0726,             0.00072694,             0.00072694,             0.00072694
                     43,                0.79004,                 0.4506,                0.97645,                0.77587,                0.86375,                0.82738,                0.62047,                  0.769,                0.90804,                 1.0639,             0.00072028,             0.00072028,             0.00072028
                     44,                0.79107,                0.45905,                0.97145,                0.73982,                0.87561,                0.83205,                 0.6281,                0.76918,                0.90799,                 1.0703,             0.00071362,             0.00071362,             0.00071362
                     45,                0.78116,                0.44786,                0.97555,                0.76369,                0.84925,                0.80441,                0.61103,                0.74677,                0.95165,                 1.0525,             0.00070696,             0.00070696,             0.00070696
                     46,                0.78136,                0.45438,                0.97695,                0.75622,                0.87649,                0.83546,                0.65152,                0.73802,                0.90285,                 1.0352,              0.0007003,              0.0007003,              0.0007003
                     47,                0.77675,                0.45105,                0.96787,                0.76703,                0.88922,                0.83039,                0.64261,                0.74098,                 0.9056,                 1.0386,             0.00069364,             0.00069364,             0.00069364
                     48,                0.77777,                0.44569,                0.96503,                0.76126,                0.83953,                0.80672,                0.63378,                0.74045,                0.97858,                 1.0381,             0.00068698,             0.00068698,             0.00068698
                     49,                0.76146,                0.43788,                0.96193,                0.71745,                0.91659,                 0.8431,                0.66461,                0.72357,                0.91786,                 1.0345,             0.00068032,             0.00068032,             0.00068032
                     50,                0.75703,                0.43894,                0.96162,                0.77162,                0.86392,                 0.8358,                0.65305,                0.72778,                0.93771,                 1.0319,             0.00067366,             0.00067366,             0.00067366
                     51,                0.74501,                0.42887,                0.95276,                0.76464,                0.82939,                0.82247,                0.63308,                  0.754,                0.96413,                 1.0528,               0.000667,               0.000667,               0.000667
                     52,                0.75345,                0.43736,                0.96024,                0.73782,                0.86016,                0.81382,                0.62701,                0.74954,                  0.906,                 1.0436,             0.00066034,             0.00066034,             0.00066034
                     53,                 0.7503,                0.43132,                 0.9513,                0.79132,                 0.8608,                0.83478,                0.63217,                0.75347,                0.92739,                 1.0476,             0.00065368,             0.00065368,             0.00065368
                     54,                0.74541,                0.42762,                0.95404,                0.78014,                0.85336,                0.84553,                0.64577,                0.77209,                0.90203,                 1.0621,             0.00064702,             0.00064702,             0.00064702
                     55,                0.73045,                0.42196,                0.94807,                0.73355,                0.88849,                0.83892,                0.64386,                0.76091,                0.95412,                 1.0644,             0.00064036,             0.00064036,             0.00064036
                     56,                0.73195,                0.42639,                0.96175,                0.71896,                0.88292,                 0.7987,                 0.6059,                0.75698,                 1.0195,                 1.0601,              0.0006337,              0.0006337,              0.0006337
                     57,                0.72805,                0.42564,                0.95549,                0.75409,                0.86669,                0.81735,                0.63653,                0.74053,                 0.9477,                 1.0491,             0.00062704,             0.00062704,             0.00062704
                     58,                0.72023,                 0.4224,                0.95438,                0.74974,                0.85422,                0.79292,                0.61618,                0.77105,                  1.001,                 1.0985,             0.00062038,             0.00062038,             0.00062038
                     59,                0.72495,                0.41904,                 0.9569,                0.73384,                0.87388,                0.81912,                0.64255,                 0.7471,                0.95036,                 1.0596,             0.00061372,             0.00061372,             0.00061372
