                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96209,                0.72068,                 1.0564,                0.81331,                0.72717,                0.79387,                0.56873,                0.85872,                0.69707,                 1.1636,               0.070476,              0.0032804,              0.0032804
                      1,                 0.8544,                0.57114,                 1.0021,                 0.8701,                0.75281,                0.80898,                 0.5847,                0.84575,                0.66242,                 1.1669,               0.040433,              0.0065701,              0.0065701
                      2,                0.83226,                0.54713,                 0.9943,                0.82705,                0.73544,                0.80958,                0.57403,                0.85043,                0.68092,                  1.153,               0.010345,              0.0098158,              0.0098158
                      3,                0.87486,                0.58351,                 1.0147,                0.82875,                0.72119,                 0.8069,                0.56011,                0.93244,                0.61712,                 1.2299,               0.009802,               0.009802,               0.009802
                      4,                0.86044,                0.58689,                 1.0038,                0.86289,                0.77838,                0.85297,                0.59299,                0.83387,                0.61202,                 1.1539,               0.009802,               0.009802,               0.009802
                      5,                0.86656,                0.58061,                  1.008,                0.80731,                0.72314,                 0.7705,                0.53898,                0.83515,                0.67806,                 1.1566,               0.009736,               0.009736,               0.009736
                      6,                0.93888,                0.63415,                 1.0337,                0.73145,                0.64073,                0.67853,                0.45162,                 1.1982,                0.99104,                 1.5411,                0.00967,                0.00967,                0.00967
                      7,                0.92329,                0.63578,                 1.0346,                0.80513,                0.65175,                0.72142,                 0.5102,                0.89445,                 0.7515,                   1.22,               0.009604,               0.009604,               0.009604
                      8,                0.91452,                0.61971,                 1.0279,                0.74811,                0.78067,                0.80091,                0.55723,                0.86165,                0.60373,                 1.1932,               0.009538,               0.009538,               0.009538
                      9,                0.93189,                0.64319,                 1.0394,                0.79955,                0.70457,                0.78163,                0.56015,                0.81657,                0.73672,                  1.127,               0.009472,               0.009472,               0.009472
                     10,                0.90864,                0.62643,                 1.0344,                0.78051,                0.69416,                0.77534,                0.53444,                0.84082,                0.71106,                  1.138,               0.009406,               0.009406,               0.009406
